public/sounds — built by scripts/gen-sounds.mjs from real recordings.
Provenance and licences: CREDITS.json and docs/design/sound.md.

name                      ms    peakDb  centroid   >4kHz%  maxStep%
page-flip-1              340       -12      1856     1.04        20
page-flip-2              420       -12      1860     0.63      15.1
page-flip-3              300       -12      1846     0.59      10.5
page-flip-4              400       -12      1843     1.27      21.5
page-flip-5              310       -12      1075     0.43      16.6
page-flip-6              430       -12      1853     0.81      19.2
book-pull                640       -10       942     0.08      20.5
book-pull-2              780       -10       860     0.05      19.9
book-pull-3              650       -10      1508     0.19      16.5
book-pull-4              760       -10      1503     0.27      14.4
book-return              640       -10      1329     0.13         9
book-return-2            790       -10       836     0.07      18.9
book-return-3            660       -10      1228      0.5        20
book-return-4            770       -10      1421     0.27      17.9
shelf-whoosh             600       -21      1101      0.1      10.1
shelf-whoosh-2           800       -21      1087     0.05      13.7
shelf-whoosh-3           620       -21      1095     0.09      13.5
pop-soft                 300       -14       358        0       4.1
pop-soft-2               380       -14      1433        0      21.1
pop-soft-3               300       -14       427        0       4.5
pop-soft-4               400       -14      1251        0      18.8
pop-soft-5               290       -14       487        0         7
click-soft               140       -19      1369     0.18      16.9
click-soft-2             170       -19       909     0.03       3.3
click-soft-3             130       -19      1004     0.07      18.5
click-soft-4             160       -19      1066     0.12      11.6
tick-hover               140       -27      1546     0.35       8.8
tick-hover-2             170       -27      1496     0.27       8.7
tick-hover-3             130       -27      1491     0.26       9.4
tick-hover-4             180       -27      1560     0.16      11.2
tick-hover-5             130       -27      1586     0.22        12
check-done               900       -10       902     0.35      20.4
check-done-2            1020       -10      1068     0.22      23.5
check-done-3             920       -10      1023     0.19      21.8
check-done-4            1040       -10       836        0      15.5
crumple-delete           700       -12      1517     0.47      17.1
crumple-delete-2         880       -12      1500     0.22      12.9
crumple-delete-3         720       -12      1501     0.09      10.9
crumple-delete-4         860       -12      1505     0.12      14.7
drop-thump               520       -10       849        0       3.5
drop-thump-2             620       -10       825     0.02      13.5
drop-thump-3             500       -10       900     0.04       5.7
drop-thump-4             600       -10       838     0.03        10
confetti                 950       -11      1212      0.3      23.5
confetti-2              1050       -11      1014     0.27      20.4
confetti-3               920       -11      1262     0.38      21.8
typing-tick-1            140       -18      1583      0.3       9.2
typing-tick-2            130       -18      1584     0.36       8.1
typing-tick-3            180       -18      1601     0.39      11.6
typing-tick-4            140       -18      1477      0.2      12.7
typing-tick-5            170       -18      1600     0.36      10.9
typing-tick-6            130       -18      1601     0.35      13.8
pencil-scratch           210       -19      1705     0.32       8.6
ambient-rain            8000       -20      1301     0.26      15.7
ambient-fireplace       8000       -20       818     0.07      21.5
ambient-crickets        8000       -22      1301     0.57      13.9
ambient-storm           8000       -20      1401      0.3      18.8
ambient-wind            8000       -21       941        0      12.4
ambient-stream          8000       -20      1502     0.26      15.5
ambient-forest          8000       -23      1601     0.49      21.2
ambient-cafe            8000       -23      1401     0.48        19
ambient-shore          12000       -20      1305     0.16      14.1
ambient-night          12000       -22      1200     0.08      11.2
chime-hour              6000       -14      1027     0.52      21.1
chime-hour-2            5600       -14      1060     0.07      21.7
chime-hour-3            6300       -14       989     0.03      20.9
